price,ema_20,ema_50,rsi_14,bb_upper,bb_lower,macd_line,macd_signal,adx,volume,vol_ma20,cmf,fib_0_618,entry,tp,sl,is_doji,timestamp,label
19.38,20.110433048825776,20.978426994749555,39.748851631431144,21.16263180041549,19.16136819958451,-0.4265394705176675,-0.39872681814303523,17.345357062657303,79755.67,118852.65999999999,-0.09336759070214083,28.59518,19.38,21.1626,18.9924,0,2025-01-01 08:00:00,1
19.57,20.095153710842368,20.938096524367218,45.476912027412524,20.985166650977533,19.21483334902247,-0.3875238997800672,-0.3964862344704417,17.341585603570675,141421.14,122153.99300000002,-0.059522048638563266,28.59518,19.57,20.9852,19.1786,0,2025-01-01 12:00:00,1
19.95,20.122281928857383,20.91621038615674,51.137803020362696,20.923992289408858,19.23800771059114,-0.3182379238485531,-0.380836572346064,16.29236580180688,111946.45,124730.47350000001,0.01010399737945918,28.59518,19.95,20.9475,19.238,0,2025-01-01 16:00:00,1
20.38,20.163016983251918,20.901849194542752,53.20630908622038,20.91559676860133,19.241403231398667,-0.24676614300365074,-0.3540224864775814,16.03219912467268,132311.27,124900.30649999999,0.01844683185605957,28.59518,20.38,21.399,19.2414,0,2025-01-01 20:00:00,1
20.55,20.224634413418404,20.898247265345,56.25636491327516,20.995816124547417,19.21218387545258,-0.1672168429912233,-0.3166613577803098,16.000206566989633,111786.96,125887.4415,0.050950292895322956,28.59518,20.55,21.5775,19.2122,0,2025-01-02 00:00:00,1
20.81,20.340383516902364,20.91949247062559,62.615073253904136,21.224012576325613,19.096987423674385,-0.05272987753429348,-0.26387506173110653,16.792571501617193,113869.0,123805.30599999998,0.09144230478869275,28.59518,20.81,21.8505,19.097,0,2025-01-02 04:00:00,1
21.44,20.483204134340234,20.95559080511086,65.99495506289821,21.49434129107139,18.942658708928608,0.06947762961895876,-0.1972045234610935,18.48953754851085,156284.74,129624.302,0.09078166324227582,28.59518,21.44,22.512,18.9427,0,2025-01-02 08:00:00,1
21.84,20.59813707392688,20.98439116569475,63.67030358149269,21.6732556525876,18.853744347412402,0.1524666722077619,-0.1272702843273224,20.065291734912105,206095.92,132986.949,0.04690341988267618,28.59518,21.84,22.932,18.8537,0,2025-01-02 12:00:00,0
21.69,20.68688592402908,21.005787590569465,61.194189182334554,21.817149859928602,18.8008501400714,0.2029855326724075,-0.06121912092737642,20.979433826952647,149803.3,133283.9395,0.03948785761783549,28.59518,21.69,22.7745,18.8009,0,2025-01-02 16:00:00,1
21.53,20.786230121740594,21.0341880772138,63.12466538074918,22.014097897486373,18.79890210251363,0.25620702696610564,0.0022661086513199938,21.636597179159235,100822.16,124678.397,0.14045432433917987,28.59518,21.53,22.6065,18.7989,0,2025-01-02 20:00:00,1
21.73,20.904684395860535,21.073239525166198,65.8675707838272,22.239279724382815,18.72572027561718,0.31891666463819135,0.06559621984869426,22.917470468306046,85197.83,122681.55250000002,0.1121900736135951,28.59518,21.73,22.8165,18.7257,0,2025-01-03 00:00:00,1
22.03,20.96042873911191,21.0895830731989,57.56703860862859,22.352135871988136,18.754864128011864,0.32133684612329105,0.11674434510361363,23.665319189894667,172881.3,121488.44549999999,0.09635226998623722,28.59518,22.03,23.1315,18.7549,0,2025-01-03 04:00:00,1
21.49,21.103245049672683,21.143324913465612,65.88385170760444,22.624378619376085,18.76062138062392,0.3969499587270242,0.17278546782829574,24.955354083469018,103602.72,126036.81300000001,0.16296613129014725,28.59518,21.49,22.6244,18.7606,0,2025-01-03 08:00:00,1
22.46,21.274364568751476,21.212214132545395,68.8649029980951,22.95579756977322,18.74220243022678,0.4867670702116911,0.2355817883049748,26.638613080456846,157080.05,131180.4845,0.2057611478156849,28.59518,22.46,23.583,18.7422,0,2025-01-03 12:00:00,0
22.9,21.44728222887038,21.285852794014204,70.08066078627472,23.284205253919534,18.72379474608046,0.5667460940790328,0.3018146494597864,28.474504600104762,176424.93,129601.82349999998,0.22147788707216526,28.59518,22.9,24.045,18.7238,0,2025-01-03 16:00:00,0
23.09,21.599922016597013,21.355035037386195,69.4656846951446,23.56128691654895,18.72771308345105,0.6197581943274706,0.3654033584333233,30.00807695090831,180726.06,125634.294,0.23328437639391456,28.59518,23.09,24.2445,18.7277,0,2025-01-03 20:00:00,0
23.05,21.723738967397296,21.41562189866517,67.08817671287588,23.755690565560116,18.83330943443989,0.642263307692172,0.420775348285093,30.941542685689395,93205.72,124740.03300000001,0.24710964829331464,28.59518,23.05,24.2025,18.8333,0,2025-01-04 00:00:00,1
22.9,21.848144780026125,21.478930843815554,68.10696578604491,23.910972199351825,19.019027800648175,0.6629466494144651,0.4692096085109675,31.88927146935556,86300.04,124458.84700000002,0.2761236457724946,28.59518,22.9,24.045,19.019,0,2025-01-04 04:00:00,1
23.03,21.95117861049983,21.5358355166071,66.40414533160447,23.98376405163654,19.291235948363457,0.663619391226355,0.5080915650540451,32.706596729345996,57184.87,124063.35900000001,0.3153942551348195,28.59518,23.03,24.1815,19.2912,0,2025-01-04 08:00:00,1
22.93,22.03011398092842,21.584626280661727,63.826322359903905,23.959511849410177,19.655488150589818,0.6446180420336596,0.535396860449968,34.1855067104281,64567.05,131021.1335,0.22506966449038848,28.59518,22.93,24.0765,19.6555,0,2025-01-04 12:00:00,1
22.78,22.13867455417333,21.64679779906715,67.37278901451567,23.955126743059196,20.019873256940805,0.6534959816458397,0.5590166846891425,35.52706912867906,218911.16,130561.90849999999,0.22232068442837957,28.59518,22.78,23.9551,20.0199,0,2025-01-04 16:00:00,0
23.17,22.276896025204444,21.723001806946872,70.70385378905496,24.019467297008696,20.31953270299131,0.6865086581893287,0.5845150793891798,37.36025774236283,132236.64,132271.5185,0.18375930460037346,28.59518,23.17,24.3285,20.3195,0,2025-01-04 20:00:00,0
23.59,22.378144022804022,21.786413500792094,66.36084755883982,24.040379856519767,20.59462014348024,0.6846068103736691,0.6045334255860777,39.062504312212056,146138.65,128985.23049999999,0.13776601340560302,28.59518,23.59,24.7695,20.5946,0,2025-01-05 00:00:00,1
23.34,22.45451125872745,21.841063951741425,63.66549164399775,24.005636116759952,20.89236388324005,0.6625514388898992,0.616137028246842,40.27744047636344,66585.51,126233.60999999999,0.1393371772014584,28.59518,23.34,24.507,20.8924,0,2025-01-05 04:00:00,1
23.18,22.509319710277218,21.88768889481039,61.157589892774084,23.939884053100638,21.18011594689936,0.6257553337229638,0.6180606893420664,40.48340199677956,56754.55,126687.5705,0.12585497044404534,28.59518,23.18,24.339,21.1801,0,2025-01-05 08:00:00,1
23.03,22.57414640453653,21.938759918543315,62.83912433684977,23.952089973900385,21.342910026099617,0.6025588942477533,0.6149603303232039,40.19559054472713,122948.21,124388.95300000001,0.09742410972316425,28.59518,23.03,24.1815,21.3429,0,2025-01-05 12:00:00,1
23.19,22.670894366009243,22.003514431541618,66.71822276752236,24.045946223153855,21.424053776846144,0.6094271095392756,0.6138536861664182,40.470295861145864,110312.39,122091.68049999999,0.12857999861790556,28.59518,23.19,24.3495,21.4241,0,2025-01-05 16:00:00,1
23.59,22.93176156924646,22.13710210089293,77.98088054741578,24.592201962660788,21.24979803733921,0.7530483367957252,0.6416926162922796,42.25814268338167,160150.47,143146.414,0.2756691598718059,28.59518,23.59,24.7695,21.2498,0,2025-01-05 20:00:00,1
25.41,23.197308086461085,22.277607900857912,79.26780946431828,25.079155690470014,21.18184430952999,0.8817196876456919,0.6896980305629621,43.98955396739628,570897.97,159461.46899999998,0.33789696270253533,28.59518,25.41,26.6805,21.1818,0,2025-01-06 00:00:00,1
25.72,23.446135887750508,22.416133081216426,79.63985910546393,25.496549721907673,21.172450278092324,0.9796619746347481,0.7476908193773193,45.79761415231672,427123.26,174687.04200000002,0.21261728613948513,28.59518,25.72,27.006,21.1725,0,2025-01-06 04:00:00,0
25.81,23.676980088917126,22.551578842737353,79.89884148165457,25.865818490501233,21.18718150949877,1.050019470428058,0.8081565495874671,47.139320766403,389709.29,182357.125,0.21683992708107097,28.59518,25.81,27.1005,21.1872,0,2025-01-06 08:00:00,0
