price,ema_20,ema_50,rsi_14,bb_upper,bb_lower,macd_line,macd_signal,adx,volume,vol_ma20,cmf,fib_0_618,entry,tp,sl,is_doji,timestamp,label,reg_target
103.38,103.26677466631646,106.0790434879685,46.61460120758713,105.96947109614086,99.45652890385912,-1.0096133519379435,-1.5186251525241954,30.22842741306197,401467.62,525914.6255,0.01331422483355241,106.08562,103.38,108.549,99.4565,1,2024-02-25 04:00:00,0,0.004270600795884672
103.03,103.22231993619108,105.95045354726386,45.807428297217946,105.906598954402,99.44140104559801,-0.9353615807807216,-1.4019724381755008,29.5925967603549,330212.55,511653.88200000004,0.023610393828829845,106.08562,103.03,108.1815,99.4414,1,2024-02-25 08:00:00,0,0.006712062256809316
102.8,103.18019422798241,105.82612203560646,45.73326932593165,105.6011013874275,99.5178986125725,-0.8681231665603235,-1.2952025838524654,28.48262072301042,223440.98,490820.73600000003,-0.0390617961450264,106.08562,102.8,107.94,99.5179,1,2024-02-25 12:00:00,0,0.0050593500681065965
102.78,103.19731858722218,105.72941136754346,48.344968194147114,105.11237485699293,99.75862514300708,-0.7592825495322586,-1.1880185769884242,27.519133293577664,329093.66,465951.6335,-0.013787071939006265,106.08562,102.78,107.919,99.7586,1,2024-02-25 16:00:00,0,-0.023316563467492227
103.36,103.22328824558197,105.64080700018883,48.847777521620834,104.70530197818857,99.97369802181143,-0.6565808404700135,-1.0817310296847422,26.138570177256867,289063.97,452333.34900000005,-0.0635809880677476,106.08562,103.36,108.528,99.9737,1,2024-02-25 20:00:00,1,0.014496955639315743
103.47,103.24868936505035,105.55646162763242,48.945085900172685,104.6978227379456,99.9761772620544,-0.5670386941623349,-0.9787925625802608,25.31218313169584,393906.03,451820.5275,-0.02030652918159384,106.08562,103.47,108.6435,99.9762,1,2024-02-26 00:00:00,1,0.059909169968112894
103.49,103.25357609218841,105.46797293635271,48.01068780473252,104.79489394975941,100.03310605024062,-0.5055793066658509,-0.8841499113973789,24.54482373224632,496546.78,434738.591,0.03156466186592049,106.08562,103.49,108.6645,100.0331,1,2024-02-26 04:00:00,1,0.06389157792836407
103.3,103.03418789293237,105.29079752708397,38.2773167430364,104.82384596093578,99.9161540390642,-0.6391301648191501,-0.8351459620817331,25.049683892615064,350070.22,444289.95599999995,-0.025242120399536105,106.08562,103.3,108.465,99.9162,1,2024-02-26 08:00:00,1,0.09133234274393262
100.95,103.21855095074834,105.2782172319042,55.061122560191194,105.21273949919068,99.82626050080931,-0.41579673271908746,-0.751276116209204,24.79522742408567,691208.73,478989.43799999997,0.09737846188371836,106.08562,100.95,105.9975,98.931,1,2024-02-26 12:00:00,1,0.05182433076116984
104.97,103.83487943162945,105.45122832084913,66.55915481566564,106.99838311365534,98.74261688634465,0.1404422438005497,-0.5729324442072533,24.305868250271025,1075160.64,554225.058,0.1992210182510545,106.08562,104.97,110.2185,98.7426,1,2024-02-26 16:00:00,1,0.016501048409153087
109.69,104.41250996195045,105.62568995532564,66.96414899471753,108.3175758828393,98.3844241171607,0.591393667070335,-0.34006722195173567,24.085095894617176,1935451.61,547961.657,0.29855694243783204,106.08562,106.0856,111.3899,98.3844,1,2024-02-26 20:00:00,0,-0.028116469517743433
109.9,104.9608423465266,105.80389819237169,67.50898273877479,109.48443939295177,98.09556060704824,0.9595021192951521,-0.08015335370235813,24.380617331578566,843700.73,590820.8605,0.1644963729542192,106.08562,106.0856,111.3899,98.0956,1,2024-02-27 00:00:00,0,-0.015975310883180584
110.17,105.4798097420955,105.9845296358081,68.01395921384542,110.40323348628213,98.22776651371787,1.256116979365359,0.1871007129111853,24.49607258212097,1710593.93,603855.5284999999,0.17919168540495037,106.08562,106.0856,111.3899,98.2278,1,2024-02-27 04:00:00,0,-0.01856715877185035
110.41,106.05316119522926,106.20082259126661,70.27365168902732,111.41929938152687,98.33870061847311,1.561144382789422,0.46190944688683266,24.856533458968638,673077.1,612248.237,0.16723377972745512,106.08562,106.0856,111.4193,98.3387,1,2024-02-27 08:00:00,0,-0.03533632286995514
