index,price,ema_20,ema_50,rsi_14,bb_upper,bb_lower,macd_line,macd_signal,adx,volume,vol_ma20,cmf,fib_0_618,label,reg_target
2024-06-25 00:00:00+00:00,3394.91,3522.1342436318578,3494.398971090635,41.24210514660141,3774.715174399565,3325.351825600435,-43.76167114877626,-14.576488208084488,24.94891870132843,240036.2236,296303.7541541361,0.019224938847770837,3287.9300000000003,0,-0.006913290779431502
2024-06-26 00:00:00+00:00,3371.44,3507.782410905014,3489.577050655708,40.01785552519292,3730.487335723547,3325.3776642764537,-49.61884744776489,-21.58496005602057,26.068504236182832,206949.3418,287793.81012040883,0.02027580565186094,3287.9300000000003,1,0.023432123958901836
2024-06-27 00:00:00+00:00,3450.44,3502.32122891406,3488.0422643554843,45.84512856258624,3709.3775676470755,3323.6994323529248,-47.34035198460515,-26.736038441737485,26.457745485878025,201041.6609,279531.7006708461,0.06396066256193698,3287.9300000000003,0,-0.02037131496272938
2024-06-28 00:00:00+00:00,3380.15,3490.6858737793877,3483.811195165073,41.940924461828985,3687.348244659026,3315.5867553409744,-50.62289426293182,-31.513409605976356,26.681740798384244,221634.3435,274017.66665457503,0.03611874846311604,3287.9300000000003,0,-0.0003993905595905238
2024-06-29 00:00:00+00:00,3378.8,3480.0300762765887,3479.693109080168,41.86717855481071,3652.6835346636954,3317.491465336305,-52.725479874009125,-35.755823659582916,26.889736445711442,88329.7651,256333.1046017584,0.017883960362600572,3287.9300000000003,1,0.017568367467739928
2024-06-30 00:00:00+00:00,3438.16,3476.0424499645324,3478.0643597044755,46.33538041259584,3619.619669062114,3327.586330937886,-49.03667395819775,-38.41199371930588,26.38170962147587,141221.6185,245370.10592540045,0.0413855251570154,3287.9300000000003,0,0.0011750471182260173
2024-07-01 00:00:00+00:00,3442.2,3472.8193594917198,3476.657914225869,46.63601007750553,3617.0487915381127,3324.6442084618884,-45.265482155688005,-39.78269140658231,25.114533089972422,224273.2122,243360.87795155277,0.05412731962535012,3287.9300000000003,0,-0.006057172738364973
2024-07-02 00:00:00+00:00,3421.35,3467.9175157306036,3474.4889764130894,45.227827765617185,3605.6068640180124,3322.2091359819865,-43.4582466163356,-40.51780244853297,24.149884528876672,137932.7014,233320.09923235726,0.04683183530308066,3287.9300000000003,0,-0.03678957136802721
2024-07-03 00:00:00+00:00,3295.48,3451.494895184832,3467.469016553752,37.80616839117794,3614.72266492243,3295.701335077571,-51.587982343437034,-42.73183842751378,24.486686540980145,310408.451,240661.8470197518,0.038107568353337715,3289.0115,0,-0.07154648184786441
2024-07-04 00:00:00+00:00,3059.7,3414.181095643419,3451.478074728115,28.40373679597151,3668.214949894907,3199.999050105093,-76.17819714565712,-49.42111017114245,25.908988130446566,450402.5692,260637.15389406114,-0.06846130537923625,3325.5044000000003,0,-0.025466549008072565
2024-07-05 00:00:00+00:00,2981.78,3373.0000389154748,3433.0585423858365,26.094086249085663,3702.5106512733337,3107.0073487266654,-100.79174780670428,-59.69523769825482,28.102513358292864,886994.3753,320290.2225993886,-0.06326557581191311,3255.794,1,0.02852323109015411
2024-07-06 00:00:00+00:00,3066.83,3343.8409875901916,3418.6966387628627,32.54193352799459,3691.1044114005117,3062.6555885994876,-112.1426294037451,-70.18471603935288,30.139358212721568,214487.9713,310213.8177137326,-0.04694723954371464,3255.794,0,-0.044290032378710244
2024-07-07 00:00:00+00:00,2931.0,3304.5227982958877,3399.5712803800056,28.296055480194383,3710.49605223238,2985.21794776762,-130.5932331689055,-82.26641946526341,32.13493843772736,179892.7612,297802.28852194856,-0.04942303411983662,3255.794,1,0.03002729443875818
2024-07-08 00:00:00+00:00,3019.01,3277.3311032200886,3384.647308600398,34.27943378598978,3708.4371256000622,2940.835874399937,-136.53985169524003,-93.12110591125874,34.28411434821951,500445.0105,317101.5953770011,-0.05709379832881124,3255.794,1,0.015780007353403888
2024-07-09 00:00:00+00:00,3066.65,3257.2662362467468,3372.176825910187,37.328038505665944,3683.4119973384386,2916.475002661561,-135.84253171792125,-101.66539107259125,36.05894510056544,280358.1424,313602.218903001,-0.08071338393210864,3255.794,0,0.011217452268762359
2024-07-10 00:00:00+00:00,3101.05,3242.3884994613422,3361.5444013646893,39.510037323125864,3659.048060768064,2899.6359392319355,-131.0039758186781,-107.53310802180863,37.2584683869777,270827.0844,309528.3965693818,-0.03615561816866843,3255.794,0,-0.00047725770303607426
2024-07-11 00:00:00+00:00,3099.57,3228.786737607881,3351.270895428819,39.446405171142565,3629.1325412286874,2887.658458771313,-125.8382243213373,-111.19413128171436,37.5923998118006,289229.32,307595.1511818216,-0.08519121820042118,3255.794,0,0.011069277351374527
2024-07-12 00:00:00+00:00,3133.88,3219.748000692845,3342.745762274748,41.7870341800332,3598.030731001582,2882.5732689984184,-117.61994922431677,-112.47929487023485,37.94656711950376,185745.1825,295990.39225974336,-0.06341231307442398,3255.794,0,0.013417871775562473
