price,ema_20,ema_50,rsi_14,bb_upper,bb_lower,macd_line,macd_signal,adx,volume,vol_ma20,cmf,fib_0_618,entry,tp,sl,is_doji,timestamp,label,reg_target
2.598e-05,2.5292050274741748e-05,3.027995633215054e-05,52.11015693046109,3.042361774185616e-05,1.831438225814384e-05,-1.8238863056487724e-06,-2.7358224972626945e-06,32.61555324889572,1197216493390.0,237974103145.9,-0.24269233417430958,3.175818e-05,0.0,0.0,0.0,1,2023-06-23,0,-0.029302670623145434
2.696e-05,2.5467093105718724e-05,3.015642863285052e-05,52.75398698169482,2.9464189798773033e-05,1.884881020122697e-05,-1.4740481758205917e-06,-2.4834676329742737e-06,31.276135628663646,457091826482.0,246379361440.45,-0.21918936834454616,3.175818e-05,0.0,0.0,0.0,1,2023-06-24,0,-0.11647622558053816
2.713e-05,2.5635941381364562e-05,3.0042058882542656e-05,53.192489228540936,2.935486756382291e-05,1.889713243617709e-05,-1.1743852743789006e-06,-2.221651161255199e-06,30.032390695591005,244117028586.0,245338612654.55,-0.20710751940105065,3.175818e-05,0.0,0.0,0.0,1,2023-06-25,0,-0.1075624082232012
2.724e-05,2.5662042202186986e-05,2.9880017357737062e-05,47.45723435865284,2.88292487559942e-05,1.9132751244005804e-05,-1.0323202060199867e-06,-1.983784970208157e-06,28.20929160845616,183719376736.0,243976561637.75,-0.25031700216198416,3.175818e-05,0.0,0.0,0.0,1,2023-06-26,1,0.09764569664222299
2.591e-05,2.571041913531203e-05,2.973452648096306e-05,48.62343654068278,2.8746854681711027e-05,1.9161145318288976e-05,-8.885105917100652e-07,-1.7647300945085388e-06,26.516413884688088,149837125676.0,244222224829.15,-0.2232656102430179,3.175818e-05,0.0,0.0,0.0,1,2023-06-27,1,0.060374474589224375
2.617e-05,2.554466493194898e-05,2.9508466618964512e-05,40.44359814224914,2.8370446172455096e-05,1.92255538275449e-05,-9.4121234013722e-07,-1.600026543634275e-06,25.571432597725014,122990912790.0,245221657004.35,-0.22808095582593427,3.175818e-05,0.0,0.0,0.0,1,2023-06-28,1,0.1147267417605341
2.397e-05,2.5427077795572887e-05,2.930460518292669e-05,42.06569140926274,2.8095333367993768e-05,1.9279666632006232e-05,-9.446543100999534e-07,-1.4689520969274108e-06,24.693949974116443,156298987247.0,245376669109.65,-0.21614304887758573,3.175818e-05,0.0,0.0,0.0,1,2023-06-29,1,0.144385026737968
2.431e-05,2.5714022767423087e-05,2.9270699097321722e-05,57.28470740583857,2.8772796842582273e-05,1.9306203157417726e-05,-6.071270294713291e-07,-1.2965870834361945e-06,24.399650886241915,109817998153.0,261505289599.85,-0.12356576969970492,3.175818e-05,0.0,0.0,0.0,1,2023-06-30,0,-0.062236286919831164
2.844e-05,2.590792536100184e-05,2.9211063838603222e-05,54.69937248833265,2.917654425195313e-05,1.9555455748046864e-05,-3.9080648733241644e-07,-1.115430964215439e-06,24.24470025166726,713731680335.0,286539099800.35,-0.17610090902686926,3.175818e-05,0.0,0.0,0.0,0,2023-07-01,0,-0.08360360360360365
2.775e-05,2.5985265802811188e-05,2.911337506061878e-05,50.99926097634438,2.9353741373147702e-05,1.9899258626852302e-05,-2.9903618808019327e-07,-9.521520089883899e-07,23.559222373389474,650763046286.0,288037351478.75,-0.18979729403596363,3.175818e-05,0.0,0.0,0.0,0,2023-07-02,0,-0.0838323353293414
