price,ema_20,ema_50,rsi_14,bb_upper,bb_lower,macd_line,macd_signal,adx,volume,vol_ma20,cmf,fib_0_618,timestamp,label,reg_target
390.3,413.17452244652515,446.17803267352673,42.79598029228537,463.06764645271306,337.472353547287,-4.631124312860095,-7.050264422638625,18.7221400380612,39217.2194,44359.26654334083,-0.17785072404181565,683.221,2024-05-30 00:00:00+00:00,,
389.1,410.88171078495134,443.9396784510355,42.530755181561084,462.922702185517,339.0572978144829,-6.154295523121164,-6.871070642735133,18.215067234329577,36410.6785,43602.25815826075,-0.16070052876260416,452.9896,2024-05-31 00:00:00+00:00,,
386.7,408.57869071019405,441.6949851784459,41.970519603497785,462.0186697713105,342.3413302286895,-7.468981849985255,-6.990652884185158,17.524452310278445,24342.6102,41768.00597175973,-0.16401149260318656,444.4328,2024-06-01 00:00:00+00:00,,
381.1,405.96167254731847,439.3187112498794,40.62580224783187,460.4754498274898,346.2645501725102,-8.860613794394624,-7.364645066227051,17.120338356400158,42176.6479,41806.92425063976,-0.20165517915878298,444.4328,2024-06-02 00:00:00+00:00,,
378.7,403.3653227809072,436.9415068871391,40.03380265725736,456.7172436776075,353.50275632239254,-10.041401058027077,-7.899996264587056,16.947231223615372,52734.3837,42847.63467438835,-0.21025257818121315,433.1638,2024-06-03 00:00:00+00:00,,
397.6,402.8162444208208,435.3987026954866,46.6294358577535,456.7540965774028,354.2559034225972,-9.344395055938264,-8.188876022857299,16.332515635114397,36442.7555,42237.64618158946,-0.23788165800143923,410.5494,2024-06-04 00:00:00+00:00,,
418.4,404.30041161883787,434.7320869035067,52.7843521773835,457.69353808915014,356.93646191084974,-7.032559640558873,-7.957612746397613,15.624065021335525,50490.299,43023.61311667618,-0.1733187102477609,409.5944,2024-06-05 00:00:00+00:00,,
423.9,406.16703908371045,434.30729918180054,54.285616837218264,458.79716033386984,360.1528396661302,-4.702403008674025,-7.306570798852896,15.321291419223991,54528.7011,44119.335781754635,-0.12090126161083303,409.5944,2024-06-06 00:00:00+00:00,,
392.4,404.85589250430945,432.66387568447504,45.3850669864231,458.3834238537051,361.56657614629495,-5.336013590431719,-6.912459357168661,16.042193354509866,122071.6152,51543.3623930161,-0.07386946613000815,401.2514,2024-06-07 00:00:00+00:00,,
361.6,400.73628369437523,429.8770570301819,38.70312187819421,458.9161825626044,360.65381743739556,-8.228602922687116,-7.1756880702723524,16.711602294418178,47833.6891,51190.06017463361,-0.0956479178165948,401.2514,2024-06-08 00:00:00+00:00,,
362.0,397.04711381872045,427.2152116564493,38.829080786437984,460.93680060668703,354.19319939331297,-10.369194531460664,-7.814389362510015,17.467768706230217,35928.0113,49736.53171038279,-0.12475428375776122,401.2514,2024-06-09 00:00:00+00:00,,
342.9,391.8902458359852,423.9087327679611,35.11817035612707,463.2418419005974,343.79815809940254,-13.45177548384487,-8.941866586776987,18.533542170619466,61806.2067,50886.024566536806,-0.16928117087321534,401.2514,2024-06-10 00:00:00+00:00,,
325.5,385.56736528017706,420.04956677706065,32.10770780618918,462.86176269134126,332.1082373086588,-17.10164061196531,-10.573821391814652,20.014883434164492,89875.6527,54599.32248400949,-0.19695890226400498,397.358,2024-06-11 00:00:00+00:00,,
354.0,382.5609495392078,417.45938768776415,41.02529599056832,455.85906553379255,329.4509344662074,-17.492826787991703,-11.957622471050064,20.449460129186853,116339.2234,60479.313047437165,-0.1071559151949886,385.33939999999996,2024-06-12 00:00:00+00:00,,
315.8,376.2027638688071,413.47274503334205,34.486734644790744,454.8006811480453,318.4493188519547,-20.647256677607913,-13.695549312361635,20.852995631707618,68436.5842,61237.14839530029,-0.1488745895222406,379.3038,2024-06-13 00:00:00+00:00,,
302.5,369.1834530241588,409.12087267909334,32.54205353220398,455.54222135616556,305.5077786438344,-23.94434839536865,-15.74530912896304,21.78108645398638,91117.5688,64082.9027195574,-0.14830164461830997,366.8202,2024-06-14 00:00:00+00:00,,
302.1,362.7945527361437,404.9239757112858,32.48272797176158,451.7155309432335,295.9544690567666,-26.28657867685797,-17.853563038542028,22.642885074673806,38662.6181,61661.9232319805,-0.15900573218259828,366.8202,2024-06-15 00:00:00+00:00,,
306.0,357.38554771365386,401.04460411476475,33.750865636190596,444.61733067050864,289.8526693294914,-27.510986120453765,-19.785047654924377,23.061706969665924,38408.3717,59447.29927655379,-0.16619736215839923,366.8202,2024-06-16 00:00:00+00:00,,
288.5,350.82501935997254,396.6310902279112,30.942432479142326,441.50548384456175,279.9345161554383,-29.552775586285804,-21.73859324119666,23.886641861484886,79117.4225,61320.64434545343,-0.17514545439763096,361.2582,2024-06-17 00:00:00+00:00,,
293.6,345.3750175161656,392.59065531701276,32.699996183720515,439.80583283418275,271.46416716581723,-30.408846813518494,-23.472643955661027,25.538518819958206,141537.0087,68960.29809350548,-0.024249929410898687,333.5718,2024-06-18 00:00:00+00:00,,
299.5,341.00596822891174,388.9400413830123,34.76834930543019,437.07277561672515,265.1172243832748,-30.26236305350392,-24.83058777522961,26.009543617862164,88913.5781,70860.61047507639,-0.020534605500360983,333.5718,2024-06-19 00:00:00+00:00,,
299.1,337.014923635682,385.4169025052471,34.69050749759501,433.5604983312345,259.62950166876556,-29.83463517254097,-25.831397254691886,26.384858976525326,62661.6006,70079.75239173579,-0.05611456268601981,333.5718,2024-06-20 00:00:00+00:00,,
286.2,332.1754070989504,381.52604358347276,32.18766929984187,430.2820307511892,252.85796924881078,-30.18858472252674,-26.70283474825886,27.060090915130278,58582.4097,68984.76737347523,-0.06253812387371445,333.5718,2024-06-21 00:00:00+00:00,,
