price,ema_20,ema_50,rsi_14,bb_upper,bb_lower,macd_line,macd_signal,adx,volume,vol_ma20,cmf,fib_0_618,entry,tp,sl,is_doji,timestamp,label,reg_target
8.532e-05,8.386332813152964e-05,8.358290101268338e-05,50.076234654662386,8.58766703273877e-05,8.162732967261231e-05,3.257998168104323e-07,1.434116549107427e-07,22.696316844986562,7571132722.0,5312037060.6,0.06248514411404206,7.534149999999999e-05,0.0001,0.0001,0.0001,1,2025-06-09 13:00:00,1,0.02494926584696178
8.377e-05,8.392015402376492e-05,8.361729705140167e-05,54.18320247327832,8.587192365557335e-05,8.162807634442666e-05,3.3068406675702095e-07,1.8086613727999835e-07,22.409831497855965,7591550750.0,5372889937.25,0.027809008463497344,7.534149999999999e-05,0.0001,0.0001,0.0001,1,2025-06-09 14:00:00,1,0.018470281790196608
8.446e-05,8.395918697388254e-05,8.364524618664082e-05,53.29365643586628,8.587501854243888e-05,8.162798145756112e-05,3.203719085470195e-07,2.087672915334026e-07,22.939264399539667,5674756242.0,5840291980.0,-0.09283468338644205,7.534149999999999e-05,0.0001,0.0001,0.0001,1,2025-06-09 15:00:00,1,0.011976757974623569
8.433e-05,8.407926440494135e-05,8.37070012381451e-05,58.33665901201483,8.598712556513083e-05,8.159087443486916e-05,3.7963877139048205e-07,2.4294158750481847e-07,23.430880665388816,13227078046.0,6003147205.0,-0.07858865094067345,7.534149999999999e-05,0.0001,0.0001,0.0001,1,2025-06-09 16:00:00,0,0.004576390518657608
8.522e-05,8.424885827113741e-05,8.379143256213943e-05,61.55155380054438,8.61488310807738e-05,8.15121689192262e-05,4.728006864799188e-07,2.889134072998386e-07,24.277445468413784,6916949669.0,6135115395.4,-0.06918629624099848,7.534149999999999e-05,0.0001,0.0001,0.0001,1,2025-06-09 17:00:00,1,0.051712089447938564
8.586e-05,8.441753843579099e-05,8.387882736362416e-05,62.33405715264692,8.645718378136163e-05,8.147281621863837e-05,5.531662816470951e-07,3.417639821692899e-07,25.063541356936973,6872264410.0,6086609445.7,-0.007253753024326602,7.534149999999999e-05,0.0001,0.0001,0.0001,1,2025-06-09 18:00:00,1,0.06672866775168561
8.602e-05,8.450539191809661e-05,8.393612825132519e-05,57.022439342505216,8.66025822746457e-05,8.15584177253543e-05,5.555818757906305e-07,3.8452756089355804e-07,25.36846279646688,5204379428.0,6216906005.95,-0.030619136630043994,7.534149999999999e-05,0.0001,0.0001,0.0001,1,2025-06-09 19:00:00,1,0.0684321537379892
8.534e-05,8.46105926878017e-05,8.400177028068499e-05,58.53335377599778,8.677761459890932e-05,8.159638540109068e-05,5.726814794553394e-07,4.221583446059143e-07,25.651604133173226,6394486165.0,6047251902.9,-0.05878629138987167,7.534149999999999e-05,0.0001,0.0001,0.0001,1,2025-06-09 20:00:00,1,0.0685667562200677
8.561e-05,8.515244100324915e-05,8.424875968144245e-05,74.98461186462696,8.819210436073872e-05,8.094789563926128e-05,9.536833742985714e-07,5.284633505444458e-07,28.354750470725715,2504187420.0,7287328052.8,0.12754676987314614,7.534149999999999e-05,0.0001,0.0001,0.0001,0,2025-06-09 21:00:00,1,0.009413067552602515
9.03e-05,8.578173233627304e-05,8.454331812530746e-05,77.9211840430941,8.970278485391308e-05,8.035121514608694e-05,1.3577881822321756e-06,6.943283168819918e-07,31.164548225652595,27718258560.0,8004338200.65,0.21972219554206032,7.534149999999999e-05,0.0001,0.0001,0.0001,0,2025-06-09 22:00:00,0,-0.01482127288578902
