price,ema_20,ema_50,rsi_14,bb_upper,bb_lower,macd_line,macd_signal,adx,volume,vol_ma20,cmf,fib_0_618,entry,tp,sl,is_doji,timestamp,label,reg_target
18.379,18.831536303503015,19.330703827893124,33.63825093935094,20.042879845431752,17.775920154568244,-0.37399299415567455,-0.34096615302975813,34.06165607318049,581319.03,835985.4835,-0.05144650944864468,18.964168,18.379,20.0429,17.7759,0,2024-02-22 20:00:00,0,-0.014292809447602249
18.121,18.7444376079313,19.275264462093396,31.246010970840587,19.890277479067528,17.716322520932472,-0.4006271295374546,-0.35289834833129746,35.201776286728006,933609.06,815386.143,-0.10547382235942236,18.865906000000003,18.121,19.8903,17.7163,0,2024-02-23 00:00:00,1,0.012502092984316383
17.917,18.667729264318794,19.222861934168165,31.809225893886705,19.74953602161812,17.667763978381878,-0.415173792534155,-0.36535343717186897,36.289507736815565,707425.81,805925.893,-0.07507947844079381,18.853546,17.917,19.7495,17.5587,0,2024-02-23 04:00:00,0,-0.0002229778694465319
17.939,18.60042171533605,19.173377152436082,32.405535857315726,19.632884685239816,17.62111531476019,-0.42008443969642073,-0.3762996376767793,37.50694108224697,549054.33,811561.9005,-0.0307143521402137,18.76579,17.939,19.6329,17.5802,1,2024-02-23 08:00:00,1,0.011469294582707148
17.961,18.530095837684996,19.12195059743859,31.08807572043304,19.49529945020405,17.585500549795945,-0.4270419616646173,-0.38644810247434697,38.608300189331985,752751.06,849058.384,-0.038026744472660474,18.76579,17.961,19.4953,17.5855,1,2024-02-23 12:00:00,1,0.03269510693091497
17.862,18.493039091238806,19.083481946558646,38.657043734804965,19.305093640248153,17.63050635975185,-0.4053700263215845,-0.3902324872437945,39.90642302490958,1237938.39,858330.2540000001,-0.012919695072599895,18.692248,17.862,19.3051,17.5048,1,2024-02-23 16:00:00,1,0.01322970067802227
18.141,18.439892511120824,19.038443438850464,35.55209002295294,19.250907738344587,17.581292261655413,-0.40020403679275063,-0.39222679715358577,40.73900945251983,1109835.28,784786.8155,-0.008432046438531333,18.692248,18.141,19.2509,17.5813,1,2024-02-23 20:00:00,1,0.0165040423752441
17.935,18.413902748156936,19.004269186346527,41.273055715137005,19.122957156712662,17.60584284328733,-0.3730887568280785,-0.38839918908848436,41.512125421015064,563941.89,758398.4480000001,-0.04426737697958204,18.692248,17.935,19.123,17.5763,1,2024-02-24 00:00:00,1,0.01700886222271137
18.167,18.416959629284847,18.982376277078036,47.328388466588144,18.956477508080873,17.688822491919126,-0.3253364576326412,-0.3757866427973158,40.864105828724554,505862.15,752948.517,-0.01162035160760548,18.692248,18.167,19.0754,17.6888,1,2024-02-24 04:00:00,0,0.0047164696953268855
18.446,18.41353490268629,18.95879289366321,46.13488445407882,18.8474443266431,17.736555673356897,-0.28940133481419394,-0.35850958120069143,40.16913386103779,469138.34,744636.5595000001,0.005874888912951427,18.692248,18.446,19.3683,17.7366,0,2024-02-24 08:00:00,1,0.008215004624340341
18.381,18.396150626239976,18.9302519958725,43.41409164608468,18.78211402928368,17.750685970716315,-0.26991482736596595,-0.34079063043374636,39.81138395548345,374914.72,727421.9635,0.016389822754357335,18.692248,18.381,19.3001,17.7507,0,2024-02-24 12:00:00,1,0.017936481816685765
18.231,18.403755328502836,18.91243819211279,48.732344698588946,18.80026311439429,17.752736885605707,-0.23202750868297883,-0.3190380060835929,38.86159635144084,271046.56,701492.0395000001,0.09036672966808124,18.692248,18.231,19.1426,17.7527,0,2024-02-24 16:00:00,0,0.004546438623078569
18.476,18.4160643448359,18.89755826301033,49.91182148931737,18.8171377774816,17.750062222518398,-0.19515251531388245,-0.2942609079296508,37.71785240982299,370256.7,661954.8415,0.09386443104801533,18.692248,18.476,19.3998,17.7501,0,2024-02-24 20:00:00,0,0.004478497814708811
18.533,18.427105835803907,18.883222644853063,49.890135938452225,18.840809981997214,17.752090018002786,-0.1641176627846619,-0.26823225890065305,36.10529477744253,314583.2,626143.2305000001,0.09225009268269406,18.692248,18.533,19.4597,17.7521,0,2024-02-25 00:00:00,1,0.010900064752860011
18.532,18.439571946679724,18.87046881564314,50.492413694939394,18.835287873257144,17.754012126742857,-0.1358582465548217,-0.24175745643148677,34.60791983308925,404322.13,602583.7984999999,0.04888985408894087,18.692248,18.532,19.4586,17.754,1,2024-02-25 04:00:00,1,0.008837159176635493
18.558,18.45104128509118,18.858293567970858,50.541657826773154,18.857639193180006,17.75256080682,-0.11200989199804923,-0.21580794354479926,33.4648585744846,210642.9,585104.0769999999,0.07497024766214337,18.692248,18.558,19.4859,17.7526,1,2024-02-25 08:00:00,0,0.005872844827586302
18.56,18.46675163889202,18.84879185942298,51.98188356252975,18.819380951920937,17.771919048079067,-0.08758158125416315,-0.19016267108667206,31.203782548889624,227451.0,583111.6755,0.00846468661870735,18.692248,18.56,19.488,17.7719,1,2024-02-25 12:00:00,0,-0.008272453803180056
18.616,18.49220386375945,18.84429021787698,54.95824056988473,18.834803838955047,17.764196161044957,-0.05803140524394834,-0.16373641791812732,29.237891545261455,522793.88,568240.9495,0.07779015093346808,18.692248,18.616,19.5468,17.7642,1,2024-02-25 16:00:00,0,-0.026582683890253072
18.734,18.51408921006807,18.839494523058278,54.58768063073949,18.870588025494705,17.750511974505294,-0.035175496344276524,-0.13802423360335717,27.187048692643845,355113.46,537229.38,0.0570501419272288,18.692248,18.6922,19.6269,17.7505,1,2024-02-25 20:00:00,1,0.007744899049246852
