price,ema_20,ema_50,rsi_14,bb_upper,bb_lower,macd_line,macd_signal,adx,volume,vol_ma20,cmf,fib_0_618,entry,tp,sl,is_doji,timestamp,label
88647.99,81203.86629830342,77083.57097058697,85.58753337703469,87866.87360599593,72380.88839400408,3138.0003074194974,2329.064703310136,59.70147826147599,23561.672823,9281.08838505,0.3016189064934687,64482.66628,64482.6663,87866.8736,63193.013,0,2024-11-12 00:00:00,0
88047.46,81944.7695079888,77550.22897174042,86.67833078698293,89202.36452411556,72292.75447588445,3365.5463056624867,2536.361023780606,61.29686034724635,19452.23586,9697.810171599998,0.3111399279611665,64639.08,64639.08,89202.3645,63346.2984,0,2024-11-12 04:00:00,0
88983.35,82441.03431675177,77926.90822775061,74.77541963274629,89927.94105454802,72648.58594545198,3359.6618734521617,2701.0211937149174,60.23884069804357,13408.122211,10649.209932599999,0.27843331318192405,64639.08,64639.08,89927.9411,63346.2984,0,2024-11-12 08:00:00,0
87155.55,82840.17390563256,78268.28437568195,71.73664905268313,90442.3676314889,73144.45136851109,3275.0001459545892,2815.816984162852,59.11841329887433,21526.29235,11463.4453866,0.2693563553509725,64639.08,64639.08,90442.3676,63346.2984,0,2024-11-12 12:00:00,1
86632.0,83398.66020033423,78677.53910604736,75.90972072630089,91192.47303111825,73616.06296888174,3336.657879157865,2919.9851631618544,58.66001068483059,19109.59223,12089.9347266,0.286405600800605,64639.08,64639.08,91192.473,63346.2984,0,2024-11-12 16:00:00,0
88704.28,83832.31256220715,79041.24384698669,71.76716847427,91624.80105533222,74346.94594466778,3286.9304863210273,2993.374227793689,58.265659835095256,14486.43433,12426.9783891,0.2650623129378342,64639.08,64639.08,91624.8011,63346.2984,0,2024-11-12 20:00:00,1
87952.01,84146.94946104457,79358.68526475193,67.46622780684584,91759.49429965476,75305.36070034525,3145.41756616316,3023.7828954675833,57.54695567602128,9317.21093,12729.4751471,0.2261842527700094,64639.08,64639.08,91759.4943,63346.2984,0,2024-11-13 00:00:00,1
87136.0,84452.57332189748,79672.30545044794,68.02263432142982,91816.8474783856,76315.86152161437,3016.250263291149,3022.2763690322968,56.08684274537688,10008.6189,13050.3402321,0.23686872039036225,64639.08,64639.08,91816.8475,63346.2984,0,2024-11-13 04:00:00,1
87356.0,84758.93681505011,79985.91660925391,68.84015768514558,91811.62252096127,77367.42947903872,2905.6773591801466,2998.9565670618667,54.88685013438173,9544.53162,13038.48676235,0.2310389211292602,64639.08,64639.08,91811.6225,63346.2984,0,2024-11-13 08:00:00,1
87669.39,85499.99140409296,80478.23399712631,78.17783891259239,92777.75774790034,77772.05825209968,3174.4725213817146,3034.0597579258365,55.099558001076346,6000.39557,13516.7429614,0.2944158063420203,65689.58,65689.58,92777.7577,64375.7884,0,2024-11-13 12:00:00,0
92540.01,85946.99317513173,80859.22521292527,67.6585271586761,93151.81445539567,78432.95154460434,3161.70551146692,3059.5889086340535,55.41609350924441,25126.849483,14287.079355500002,0.19228385759044278,65909.47448,65909.4745,93151.8145,64591.285,0,2024-11-13 16:00:00,1
