index,price,ema_20,ema_50,rsi_14,bb_upper,bb_lower,macd_line,macd_signal,adx,volume,vol_ma20,cmf,fib_0_618,label,reg_target
2024-02-06 00:00:00+00:00,34.16,34.484473925618566,34.07794754379592,48.548236259259724,37.25308507553465,29.60391492446535,-0.13948307978928653,-0.430547205259636,15.333877661315771,1814138.17,2575833.804348784,0.040134069729383104,35.919039999999995,1,0.03278688524590177
2024-02-07 00:00:00+00:00,35.28,34.56023831365489,34.12508685580393,51.94569675654204,37.42187247169851,29.604127528301493,-0.06415024241628942,-0.3572678126909667,14.424291845168794,2098188.17,2530343.743934614,0.09715809212371503,35.919039999999995,0,0.0039682539682539845
2024-02-08 00:00:00+00:00,35.42,34.642120379021094,34.17586776341946,52.36908401000678,37.6238846644914,29.671115335508603,0.006770359427683559,-0.28446017826723663,13.868357171473352,2450459.44,2522735.7149884603,0.06955737469219396,35.919039999999995,1,0.07284020327498583
2024-02-09 00:00:00+00:00,38.0,34.961918438161945,34.325833733481446,59.45809986278059,38.287587095725485,29.518412904274527,0.2680697442407407,-0.1739541937656412,14.316761340514836,4106859.37,2673604.634513369,0.0952516976186022,35.919039999999995,1,0.05789473684210534
2024-02-10 00:00:00+00:00,40.2,35.46078334881319,34.55619319491355,64.33285711301465,39.40427470931391,29.167725290686093,0.645235134117172,-0.010116328189078538,15.54747447193027,3494637.43,2751798.2340835244,0.12887528132032397,35.919039999999995,0,-0.011940298507462786
2024-02-11 00:00:00+00:00,39.72,35.8664230298786,34.758695422563996,62.56525167043909,39.947212239634744,29.643787760365253,0.89509137821846,0.17092521309242917,16.690279522530318,2087708.31,2688551.574646998,0.1656550602478607,35.919039999999995,1,0.03147029204431017
2024-02-12 00:00:00+00:00,40.97,36.35247797941397,35.00227599422816,65.24344928925464,40.755439922505346,29.869560077494654,1.180362322990483,0.37281263507204,17.221185262916446,4287581.66,2840840.1542044273,0.15892294788086503,35.51412,0,-0.030021967293141247
2024-02-13 00:00:00+00:00,39.74,36.67509912423169,35.18806909249372,60.64567824286088,41.164838606944514,30.314161393055503,1.2922941193447386,0.5567089319265798,17.888662815867185,3441748.25,2898069.4966611485,0.10801602027136763,35.30402,1,0.06240563663814788
2024-02-14 00:00:00+00:00,42.22,37.20318492192391,35.46383108886651,65.86841500536968,41.892126727496205,30.7578732725038,1.5630977305129505,0.757986691643854,18.7487428066579,3949578.16,2998213.178883896,0.16541337995496322,34.00522,0,-0.01586925627664618
2024-02-15 00:00:00+00:00,41.55,37.61716731031211,35.7025043794992,63.41970298061827,42.471501319957845,31.107498680042166,1.7040054289437307,0.9471904391038295,19.9217755233123,3666472.28,3061856.9027997158,0.11110588192164332,33.48952,0,-0.03104693140794222
2024-02-16 00:00:00+00:00,40.26,37.868865661710956,35.88122969795022,58.88096598036881,42.772636224835416,31.504363775164588,1.6920783501764731,1.0961680213183582,20.152289813000444,2493109.32,3007690.4663426,0.07675116876046587,33.48952,0,-0.012419274714356682
